Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/3/2015 6:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/3/2015 7:00:00 PM,Central Los Angeles,0,1-hr,µg/m3,N/A,N/A,
7/3/2015 8:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/3/2015 9:00:00 PM,Central Los Angeles,20,1-hr,µg/m3,N/A,N/A,
7/3/2015 10:00:00 PM,Central Los Angeles,27,1-hr,µg/m3,N/A,N/A,
7/3/2015 11:00:00 PM,Central Los Angeles,18,1-hr,µg/m3,N/A,N/A,
7/4/2015 12:00:00 AM,Central Los Angeles,12,1-hr,µg/m3,N/A,N/A,
7/4/2015 1:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/4/2015 2:00:00 AM,Central Los Angeles,25,1-hr,µg/m3,N/A,N/A,
7/4/2015 3:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/4/2015 4:00:00 AM,Central Los Angeles,15,1-hr,µg/m3,N/A,N/A,
7/4/2015 5:00:00 AM,Central Los Angeles,29,1-hr,µg/m3,N/A,N/A,
7/4/2015 6:00:00 AM,Central Los Angeles,16,1-hr,µg/m3,N/A,N/A,
7/4/2015 7:00:00 AM,Central Los Angeles,17,1-hr,µg/m3,N/A,N/A,
7/4/2015 8:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/4/2015 9:00:00 AM,Central Los Angeles,31,1-hr,µg/m3,N/A,N/A,
7/4/2015 10:00:00 AM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/4/2015 11:00:00 AM,Central Los Angeles,23,1-hr,µg/m3,N/A,N/A,
7/4/2015 12:00:00 PM,Central Los Angeles,22,1-hr,µg/m3,N/A,N/A,
7/4/2015 1:00:00 PM,Central Los Angeles,14,1-hr,µg/m3,N/A,N/A,
7/4/2015 2:00:00 PM,Central Los Angeles,13,1-hr,µg/m3,N/A,N/A,
7/4/2015 3:00:00 PM,Central Los Angeles,9,1-hr,µg/m3,N/A,N/A,
7/4/2015 4:00:00 PM,Central Los Angeles,6,1-hr,µg/m3,N/A,N/A,
